,Mass_%_Recovered,Temperature,Average,Standard_Deviation,Acronym
0,IBP,35.6,35.5,2.5,OSH
1,5,130.7,144.7,19.0,OSH
2,10,235.3,258.5,15.7,OSH
3,20,315.6,325.0,6.7,OSH
4,30,346.5,353.3,5.7,OSH
5,40,369.4,375.2,5.9,OSH
6,50,390.9,395.7,6.1,OSH
7,60,411.7,415.0,5.9,OSH
8,70,431.1,434.1,6.8,OSH
9,80,454.5,458.5,8.7,OSH
10,90,494.4,500.9,31.2,OSH
11,95,582.9,570.2,65.0,OSH
12,99,,627.3,28.8,OSH
0,IBP,32.8,34.3,3.1,AHS
1,5,40.1,53.3,16.7,AHS
2,10,80.1,104.5,24.1,AHS
3,20,198.8,255.5,41.6,AHS
4,30,366.8,383.9,17.2,AHS
5,40,445.4,443.2,15.0,AHS
6,50,497.8,490.4,16.8,AHS
7,60,545.0,537.0,18.9,AHS
8,70,597.0,590.3,20.8,AHS
9,80,661.6,659.6,26.9,AHS
10,90,,703.0,15.2,AHS
11,95,,,,AHS
12,99,,,,AHS
0,IBP,34.0,34.9,2.3,PSH
1,5,124.3,112.0,20.9,PSH
2,10,187.9,175.7,22.9,PSH
3,20,260.8,259.0,18.5,PSH
4,30,314.5,316.5,13.8,PSH
5,40,362.3,366.4,12.6,PSH
6,50,408.1,415.3,14.0,PSH
7,60,454.2,468.2,21.1,PSH
8,70,517.9,545.4,35.1,PSH
9,80,638.8,653.2,32.8,PSH
10,90,,,,PSH
11,95,,,,PSH
12,99,,,,PSH
0,IBP,35.2,35.0,1.3,PXB
1,5,135.5,138.0,8.4,PXB
2,10,190.0,190.8,6.1,PXB
3,20,255.8,260.1,7.9,PXB
4,30,305.0,309.8,8.7,PXB
5,40,347.9,353.2,10.6,PXB
6,50,388.0,396.9,13.1,PXB
7,60,427.6,442.3,16.7,PXB
8,70,486.0,510.1,26.4,PXB
9,80,575.2,627.5,43.1,PXB
10,90,709.2,,,PXB
11,95,,,,PXB
12,99,,,,PXB
0,IBP,35.0,35.0,0.6,SCS
1,5,111.0,109.6,12.8,SCS
2,10,174.4,166.6,23.4,SCS
3,20,247.0,242.8,28.9,SCS
4,30,300.6,300.1,28.7,SCS
5,40,350.3,352.4,25.6,SCS
6,50,401.0,408.5,24.8,SCS
7,60,454.1,472.9,28.0,SCS
8,70,531.3,559.9,37.1,SCS
9,80,639.0,665.2,43.8,SCS
10,90,,,,SCS
11,95,,,,SCS
12,99,,,,SCS
0,IBP,34.5,35.3,1.1,SHB
1,5,113.9,127.5,15.3,SHB
2,10,190.4,188.5,12.2,SHB
3,20,261.0,258.8,9.5,SHB
4,30,310.4,309.4,9.6,SHB
5,40,356.3,355.5,11.3,SHB
6,50,403.6,405.0,14.1,SHB
7,60,454.5,462.0,20.4,SHB
8,70,534.0,545.6,33.3,SHB
9,80,653.4,651.1,30.8,SHB
10,90,,701.7,13.7,SHB
11,95,,,,SHB
12,99,,,,SHB
0,IBP,33.8,34.3,0.8,SMA
1,5,83.6,85.1,11.2,SMA
2,10,163.0,160.5,10.4,SMA
3,20,265.1,253.2,12.0,SMA
4,30,330.1,318.1,8.4,SMA
5,40,385.7,372.2,8.6,SMA
6,50,440.6,426.2,9.0,SMA
7,60,506.0,489.8,12.1,SMA
8,70,599.7,583.0,15.1,SMA
9,80,706.6,696.2,14.4,SMA
10,90,,,,SMA
11,95,,,,SMA
12,99,,,,SMA
0,IBP,34.2,34.4,1.7,AWB
1,5,36.3,42.2,7.1,AWB
2,10,54.5,76.1,16.7,AWB
3,20,212.0,220.1,38.6,AWB
4,30,326.7,337.0,18.8,AWB
5,40,400.7,411.4,17.1,AWB
6,50,466.5,480.4,19.5,AWB
7,60,541.0,559.9,23.1,AWB
8,70,625.6,641.6,21.2,AWB
9,80,713.6,707.8,10.9,AWB
10,90,,,,AWB
11,95,,,,AWB
12,99,,,,AWB
0,IBP,34.3,34.6,1.1,BHB
1,5,70.5,50.8,14.9,BHB
2,10,117.3,89.7,23.5,BHB
3,20,192.0,201.5,32.8,BHB
4,30,311.5,324.0,21.2,BHB
5,40,384.9,394.6,15.0,BHB
6,50,445.6,456.2,15.4,BHB
7,60,516.6,529.3,17.6,BHB
8,70,606.0,615.3,18.5,BHB
9,80,707.9,700.7,15.3,BHB
10,90,,,,BHB
11,95,,,,BHB
12,99,,,,BHB
0,IBP,36.7,33.6,1.8,CNX
1,5,50.3,41.1,4.3,CNX
2,10,104.1,87.5,10.7,CNX
3,20,235.1,229.8,16.6,CNX
4,30,330.3,328.7,9.6,CNX
5,40,399.2,398.8,9.6,CNX
6,50,460.9,462.8,9.8,CNX
7,60,529.5,535.3,11.7,CNX
8,70,609.6,617.4,14.1,CNX
9,80,695.0,703.2,14.2,CNX
10,90,,,,CNX
11,95,,,,CNX
12,99,,,,CNX
0,IBP,36.7,34.0,1.1,CDB
1,5,45.8,39.0,2.5,CDB
2,10,101.9,73.9,14.1,CDB
3,20,235.1,219.6,32.7,CDB
4,30,332.6,329.7,14.6,CDB
5,40,404.0,401.8,11.9,CDB
6,50,468.3,467.6,12.6,CDB
7,60,541.7,542.5,14.5,CDB
8,70,626.7,625.9,14.7,CDB
9,80,717.4,704.7,11.8,CDB
10,90,,,,CDB
11,95,,,,CDB
12,99,,,,CDB
0,IBP,34.8,34.5,3.3,CL
1,5,41.6,49.5,12.7,CL
2,10,101.9,99.7,24.0,CL
3,20,235.6,250.8,21.7,CL
4,30,336.5,337.9,14.1,CL
5,40,408.6,408.7,13.9,CL
6,50,473.2,475.5,15.3,CL
7,60,543.2,550.7,18.6,CL
8,70,620.6,630.6,19.3,CL
9,80,711.1,702.3,16.7,CL
10,90,,,,CL
11,95,,,,CL
12,99,,,,CL
0,IBP,35.2,34.3,1.0,FRB
1,5,42.0,42.6,5.7,FRB
2,10,102.4,95.6,13.2,FRB
3,20,257.3,259.8,9.9,FRB
4,30,339.4,341.2,6.5,FRB
5,40,402.1,407.2,6.3,FRB
6,50,463.2,470.1,6.6,FRB
7,60,534.9,543.9,7.8,FRB
8,70,613.6,626.5,9.6,FRB
9,80,701.0,711.1,8.7,FRB
10,90,,,,FRB
11,95,,,,FRB
12,99,,,,FRB
0,IBP,34.8,34.3,0.8,KDB
1,5,39.7,40.1,3.2,KDB
2,10,99.7,78.5,17.6,KDB
3,20,254.5,259.8,30.3,KDB
4,30,347.2,354.2,16.0,KDB
5,40,412.5,418.3,13.9,KDB
6,50,474.0,480.0,15.3,KDB
7,60,543.4,549.1,15.2,KDB
8,70,620.3,624.8,16.4,KDB
9,80,704.9,700.3,17.1,KDB
10,90,,,,KDB
11,95,,,,KDB
12,99,,,,KDB
0,IBP,34.9,35.4,2.1,LCB
1,5,57.7,68.3,17.9,LCB
2,10,94.0,104.1,11.6,LCB
3,20,200.6,203.1,25.8,LCB
4,30,324.0,319.4,13.8,LCB
5,40,400.6,392.7,11.4,LCB
6,50,469.4,460.2,11.3,LCB
7,60,549.1,538.7,13.3,LCB
8,70,637.7,624.5,16.2,LCB
9,80,719.6,702.2,19.9,LCB
10,90,,,,LCB
11,95,,,,LCB
12,99,,,,LCB
0,IBP,34.8,33.8,2.4,SHD
1,5,37.1,39.6,2.3,SHD
2,10,54.8,85.1,14.8,SHD
3,20,207.7,222.0,22.9,SHD
4,30,325.5,331.0,11.6,SHD
5,40,399.3,403.2,9.1,SHD
6,50,465.9,470.8,7.6,SHD
7,60,541.3,546.9,6.4,SHD
8,70,627.2,631.3,4.1,SHD
9,80,712.7,714.7,2.8,SHD
10,90,,,,SHD
11,95,,,,SHD
12,99,,,,SHD
0,IBP,32.4,33.5,1.3,WDB
1,5,39.0,41.6,6.2,WDB
2,10,88.6,87.6,13.4,WDB
3,20,181.8,229.6,24.7,WDB
4,30,303.6,331.0,13.4,WDB
5,40,382.7,402.1,10.1,WDB
6,50,451.4,467.8,9.1,WDB
7,60,524.4,542.0,9.4,WDB
8,70,611.1,625.4,8.6,WDB
9,80,707.6,711.2,6.5,WDB
10,90,,,,WDB
11,95,,,,WDB
12,99,,,,WDB
0,IBP,33.9,20.1,20.9,WCS
1,5,40.9,49.9,15.2,WCS
2,10,101.1,118.3,27.4,WCS
3,20,231.3,252.9,18.9,WCS
4,30,314.7,330.8,12.9,WCS
5,40,383.3,397.2,12.7,WCS
6,50,448.4,460.4,13.3,WCS
7,60,519.0,532.5,15.5,WCS
8,70,601.5,614.8,16.9,WCS
9,80,697.9,698.1,16.5,WCS
10,90,,,,WCS
11,95,,,,WCS
12,99,,,,WCS
0,IBP,34.2,34.5,4.1,BRN
1,5,42.6,58.0,22.7,BRN
2,10,112.4,121.1,30.9,BRN
3,20,248.2,250.7,19.9,BRN
4,30,326.5,337.3,16.8,BRN
5,40,394.2,404.7,19.2,BRN
6,50,457.3,462.2,20.8,BRN
7,60,527.0,522.1,23.0,BRN
8,70,608.7,592.3,25.1,BRN
9,80,706.5,676.7,29.6,BRN
10,90,,,,BRN
11,95,,,,BRN
12,99,,,,BRN
0,IBP,35.3,34.6,1.6,BRS
1,5,100.8,89.6,9.5,BRS
2,10,158.2,145.7,11.8,BRS
3,20,246.1,236.4,11.9,BRS
4,30,311.6,304.3,10.8,BRS
5,40,370.3,366.5,11.5,BRS
6,50,428.2,427.6,12.3,BRS
7,60,499.2,492.5,15.7,BRS
8,70,578.1,569.0,21.5,BRS
9,80,677.3,661.5,29.5,BRS
10,90,,693.1,28.8,BRS
11,95,,,,BRS
12,99,,,,BRS
0,IBP,34.3,34.9,2.7,F
1,5,60.2,98.2,28.3,F
2,10,138.1,158.5,22.9,F
3,20,253.4,251.2,11.8,F
4,30,330.8,321.7,8.7,F
5,40,399.4,385.9,9.9,F
6,50,462.0,446.4,11.1,F
7,60,532.2,511.8,14.1,F
8,70,617.1,590.0,18.3,F
9,80,716.4,682.0,24.1,F
10,90,,,,F
11,95,,,,F
12,99,,,,F
0,IBP,34.9,34.1,4.0,LLB
1,5,44.5,53.1,16.3,LLB
2,10,119.5,119.1,24.5,LLB
3,20,241.3,252.9,17.3,LLB
4,30,320.1,330.9,12.1,LLB
5,40,383.9,398.5,12.4,LLB
6,50,444.9,462.3,13.7,LLB
7,60,516.7,535.4,16.4,LLB
8,70,596.7,617.9,18.2,LLB
9,80,690.2,698.7,15.7,LLB
10,90,,,,LLB
11,95,,,,LLB
12,99,,,,LLB
0,IBP,34.7,33.9,1.2,LLK
1,5,36.9,50.5,14.9,LLK
2,10,100.2,130.8,36.5,LLK
3,20,238.4,265.8,18.5,LLK
4,30,320.8,342.2,12.8,LLK
5,40,386.0,408.6,12.4,LLK
6,50,445.5,469.6,13.8,LLK
7,60,512.3,536.5,16.9,LLK
8,70,584.3,612.3,20.4,LLK
9,80,668.9,690.6,19.5,LLK
10,90,,,,LLK
11,95,,,,LLK
12,99,,,,LLK
0,IBP,34.5,34.1,1.9,SH
1,5,40.5,59.9,17.8,SH
2,10,63.4,110.2,21.3,SH
3,20,193.0,222.5,25.1,SH
4,30,285.7,312.9,19.2,SH
5,40,361.8,391.2,18.7,SH
6,50,436.0,466.1,19.1,SH
7,60,514.4,547.2,21.7,SH
8,70,604.8,631.4,20.2,SH
9,80,700.3,704.3,13.6,SH
10,90,,,,SH
11,95,,,,SH
12,99,,,,SH
0,IBP,34.2,34.2,2.1,SC
1,5,40.8,65.3,17.4,SC
2,10,109.4,146.2,24.6,SC
3,20,248.3,263.2,12.0,SC
4,30,324.4,334.9,9.6,SC
5,40,392.6,399.7,9.7,SC
6,50,456.5,461.2,10.6,SC
7,60,527.7,529.8,12.8,SC
8,70,613.4,608.4,16.0,SC
9,80,715.1,691.3,18.9,SC
10,90,,,,SC
11,95,,,,SC
12,99,,,,SC
0,IBP,34.4,33.8,1.5,WH
1,5,73.5,85.1,16.3,WH
2,10,152.1,145.8,18.7,WH
3,20,248.4,244.6,15.6,WH
4,30,318.3,319.3,12.7,WH
5,40,387.7,389.4,12.8,WH
6,50,456.6,458.0,12.6,WH
7,60,531.6,533.5,13.5,WH
8,70,618.1,617.3,14.1,WH
9,80,715.1,699.4,12.6,WH
10,90,,,,WH
11,95,,,,WH
12,99,,,,WH
0,IBP,32.7,34.6,1.9,WCB
1,5,102.5,86.2,18.3,WCB
2,10,168.8,164.0,23.3,WCB
3,20,261.7,264.8,10.9,WCB
4,30,326.0,330.3,9.6,WCB
5,40,387.8,392.5,10.1,WCB
6,50,447.8,452.6,11.3,WCB
7,60,518.6,521.0,14.0,WCB
8,70,603.3,601.7,17.2,WCB
9,80,706.1,686.9,19.5,WCB
10,90,,,,WCB
11,95,,,,WCB
12,99,,,,WCB
0,IBP,34.4,35.4,2.7,CNS
1,5,118.7,105.8,11.4,CNS
2,10,158.3,145.9,13.5,CNS
3,20,212.3,198.0,14.6,CNS
4,30,252.6,236.4,16.3,CNS
5,40,285.6,267.7,17.9,CNS
6,50,314.8,295.2,19.5,CNS
7,60,344.6,322.5,21.4,CNS
8,70,375.6,350.4,23.4,CNS
9,80,411.6,382.6,25.3,CNS
10,90,454.0,424.0,24.4,CNS
11,95,489.9,458.2,24.3,CNS
12,99,584.8,538.0,29.5,CNS
0,IBP,34.0,33.9,1.9,HSB
1,5,140.8,129.4,17.9,HSB
2,10,194.2,186.2,14.7,HSB
3,20,258.7,249.0,12.1,HSB
4,30,295.1,286.0,11.9,HSB
5,40,322.4,314.2,10.7,HSB
6,50,346.5,339.9,10.2,HSB
7,60,369.4,365.3,9.1,HSB
8,70,394.4,392.9,8.6,HSB
9,80,420.7,422.4,7.5,HSB
10,90,455.6,461.3,7.8,HSB
11,95,484.3,492.0,9.1,HSB
12,99,551.1,560.0,24.3,HSB
0,IBP,34.1,35.7,3.9,PSC
1,5,95.0,94.6,14.6,PSC
2,10,118.1,126.1,21.4,PSC
3,20,164.8,178.1,29.1,PSC
4,30,203.1,217.8,30.9,PSC
5,40,234.5,251.2,31.7,PSC
6,50,264.9,282.3,31.4,PSC
7,60,294.9,313.8,30.7,PSC
8,70,327.0,347.7,29.8,PSC
9,80,365.4,387.8,27.3,PSC
10,90,419.7,439.7,21.9,PSC
11,95,463.8,479.3,17.7,PSC
12,99,546.5,550.9,24.5,PSC
0,IBP,99.8,72.5,18.1,PAS
1,5,154.7,144.8,9.8,PAS
2,10,179.5,175.4,7.4,PAS
3,20,220.6,215.5,8.2,PAS
4,30,250.2,245.9,9.3,PAS
5,40,276.7,272.4,10.3,PAS
